Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,25,ModelResultImpl,1307,5549,211,22,200,(TransformationExecutionTime5|ForwardTime:63|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),105,5,2,0,0,10,0,1,47,63,11,6,6,0,46,0,46,30,0
1,26,ModelResultImpl,1307,5666,220,20,207,(TransformationExecutionTime5|ForwardTime:60|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),113,5,2,0,0,8,0,2,42,60,14,6,8,0,41,0,41,30,0
1,27,ModelResultImpl,1307,6505,246,15,237,(TransformationExecutionTime6|ForwardTime:66|Backtrackingtime:2|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),139,6,2,0,0,10,0,1,47,66,11,5,6,0,46,0,46,30,0
1,28,ModelResultImpl,1307,5494,203,16,187,(TransformationExecutionTime4|ForwardTime:54|Backtrackingtime:1|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),106,4,2,0,0,8,0,1,39,54,16,4,6,0,38,0,38,30,0
1,29,ModelResultImpl,1307,7821,329,24,308,(TransformationExecutionTime9|ForwardTime:119|Backtrackingtime:3|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:4|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),134,9,3,0,0,20,0,4,58,119,24,6,7,0,57,0,57,30,0
1,30,ModelResultImpl,1307,6534,208,15,195,(TransformationExecutionTime5|ForwardTime:52|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),117,5,2,0,0,6,0,1,31,52,13,6,6,0,30,0,30,30,0
1,31,ModelResultImpl,1307,5822,201,20,187,(TransformationExecutionTime5|ForwardTime:61|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),97,5,2,0,0,9,0,1,53,61,14,6,5,0,52,0,52,30,0
1,32,ModelResultImpl,1307,4458,207,24,198,(TransformationExecutionTime4|ForwardTime:58|Backtrackingtime:1|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),113,4,2,0,0,8,0,1,50,58,10,5,5,0,49,0,49,30,0
1,33,ModelResultImpl,1307,4478,184,15,176,(TransformationExecutionTime4|ForwardTime:55|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),95,4,2,0,0,7,0,1,41,55,8,5,5,0,40,0,40,30,0
1,34,ModelResultImpl,1307,4467,165,12,157,(TransformationExecutionTime3|ForwardTime:48|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),84,3,1,0,0,8,0,1,45,48,9,4,5,0,44,0,44,30,0
