Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,24,ModelResultImpl,997,1104,108,9,105,(TransformationExecutionTime3|ForwardTime:51|Backtrackingtime:3|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),23,3,0,0,0,10,0,0,81,51,6,6,4,0,80,0,80,30,0
1,25,ModelResultImpl,997,2621,233,19,222,(TransformationExecutionTime6|ForwardTime:116|Backtrackingtime:6|GlobalConstraintEvaluationTime:13|FitnessCalculationTime:9|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),43,6,1,0,0,22,0,1,91,116,17,13,9,0,90,0,90,30,0
1,26,ModelResultImpl,997,1459,173,10,167,(TransformationExecutionTime4|ForwardTime:86|Backtrackingtime:7|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),32,4,0,0,0,16,0,1,103,86,14,10,6,0,102,0,102,30,0
1,27,ModelResultImpl,997,1130,103,10,98,(TransformationExecutionTime3|ForwardTime:50|Backtrackingtime:2|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),21,3,0,0,0,7,0,0,67,50,6,6,5,0,67,0,67,31,0
1,28,ModelResultImpl,997,1070,109,11,105,(TransformationExecutionTime3|ForwardTime:57|Backtrackingtime:3|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),18,3,0,0,0,9,0,1,95,57,7,6,3,0,94,0,94,30,0
1,29,ModelResultImpl,997,1046,100,9,96,(TransformationExecutionTime3|ForwardTime:49|Backtrackingtime:1|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),23,3,0,0,0,8,0,0,73,49,5,4,3,0,72,0,72,30,0
1,30,ModelResultImpl,997,1079,90,11,85,(TransformationExecutionTime2|ForwardTime:40|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),25,2,0,0,0,5,0,0,58,40,5,5,4,0,57,0,57,30,0
1,31,ModelResultImpl,997,1130,130,11,125,(TransformationExecutionTime3|ForwardTime:57|Backtrackingtime:2|GlobalConstraintEvaluationTime:8|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),34,3,0,0,0,10,0,0,76,57,7,8,6,0,75,0,75,30,0
1,32,ModelResultImpl,997,1625,279,19,271,(TransformationExecutionTime8|ForwardTime:148|Backtrackingtime:16|GlobalConstraintEvaluationTime:11|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),37,8,0,0,0,32,0,2,103,148,24,11,10,0,102,0,102,30,0
1,33,ModelResultImpl,997,1529,285,22,278,(TransformationExecutionTime7|ForwardTime:147|Backtrackingtime:20|GlobalConstraintEvaluationTime:14|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),39,7,0,0,0,34,0,1,139,147,28,14,7,0,140,0,140,31,0
1,34,ModelResultImpl,997,1372,116,11,111,(TransformationExecutionTime3|ForwardTime:57|Backtrackingtime:2|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),22,3,0,0,0,10,0,1,76,57,7,7,4,0,76,0,76,31,0
1,35,ModelResultImpl,997,1136,146,14,141,(TransformationExecutionTime3|ForwardTime:66|Backtrackingtime:6|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),34,3,0,0,0,14,0,0,102,66,11,6,7,0,101,0,101,30,0
1,36,ModelResultImpl,997,1100,111,10,107,(TransformationExecutionTime2|ForwardTime:54|Backtrackingtime:3|GlobalConstraintEvaluationTime:8|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),21,2,0,0,0,10,0,0,85,54,6,8,5,0,84,0,84,30,0
1,37,ModelResultImpl,997,2532,326,20,315,(TransformationExecutionTime8|ForwardTime:172|Backtrackingtime:20|GlobalConstraintEvaluationTime:16|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),44,8,1,0,0,37,0,1,123,172,30,16,10,0,122,0,122,30,0
1,38,ModelResultImpl,997,1508,161,16,154,(TransformationExecutionTime3|ForwardTime:80|Backtrackingtime:4|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),30,3,0,0,0,16,0,1,95,80,10,10,6,0,94,0,94,30,0
1,39,ModelResultImpl,997,1302,107,10,101,(TransformationExecutionTime2|ForwardTime:54|Backtrackingtime:1|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),20,2,0,0,0,9,0,1,74,54,7,5,4,0,74,0,74,31,0
1,40,ModelResultImpl,997,1104,110,12,106,(TransformationExecutionTime3|ForwardTime:54|Backtrackingtime:1|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),26,3,0,0,0,9,0,0,78,54,5,5,4,0,77,0,77,30,0
1,41,ModelResultImpl,997,1069,134,9,130,(TransformationExecutionTime4|ForwardTime:69|Backtrackingtime:6|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),22,4,0,0,0,13,0,1,94,69,10,5,5,0,93,0,93,30,0
1,42,ModelResultImpl,997,1105,87,9,82,(TransformationExecutionTime2|ForwardTime:41|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),19,2,0,0,0,7,0,0,66,41,5,4,3,0,65,0,65,30,0
1,43,ModelResultImpl,997,1093,89,10,86,(TransformationExecutionTime2|ForwardTime:44|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),20,2,0,0,0,6,0,0,58,44,3,4,3,0,57,0,57,30,0
1,44,ModelResultImpl,997,1075,104,11,99,(TransformationExecutionTime2|ForwardTime:53|Backtrackingtime:3|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),17,2,0,0,0,10,0,0,86,53,7,6,3,0,85,0,85,30,0
1,45,ModelResultImpl,997,1092,148,9,143,(TransformationExecutionTime3|ForwardTime:73|Backtrackingtime:7|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),27,3,0,0,0,18,0,0,116,73,12,6,4,0,115,0,115,30,0
1,46,ModelResultImpl,997,2667,206,18,197,(TransformationExecutionTime5|ForwardTime:100|Backtrackingtime:2|GlobalConstraintEvaluationTime:14|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),39,5,0,0,0,20,0,1,75,100,11,14,10,0,74,0,74,30,0
