NA,Model,VS-WF+All6-171,2.00000,1.00000,6.00000,2.00000,4.00000,1.00000
NA,Model,VS-WF+All6-172,1.00000,1.00000,2.00000,1.00000,4.00000,5.00000
NA,Model,VS-WF+All6-173,4.00000,3.00000,3.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-174,2.00000,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-175,1.00000,2.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-176,1.00000,1.00000,1.00000,2.00000,1.00000,2.00000
NA,Model,VS-WF+All6-177,1.00000,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-178,4.00000,1.00000,5.00000,4.00000,2.00000,1.00000
NA,Model,VS-WF+All6-179,1.00000,1.00000,4.00000,2.00000,5.00000,1.00000
NA,Model,VS-WF+All6-18,2.00000,1.00000,1.00000,3.00000,4.00000,3.00000
NA,Model,VS-WF+All6-180,2.00000,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-181,1.00000,1.00000,1.00000,1.00000,2.00000,2.00000
NA,Model,VS-WF+All6-182,1.00000,1.00000,1.00000,2.00000,1.00000,2.00000
NA,Model,VS-WF+All6-183,3.00000,4.00000,1.00000,4.00000,2.00000,5.00000
NA,Model,VS-WF+All6-184,1.00000,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-185,5.00000,5.00000,2.00000,4.00000,4.00000,1.00000
NA,Model,VS-WF+All6-186,2.00000,1.00000,3.00000,4.00000,1.00000,3.00000
NA,Model,VS-WF+All6-187,1.00000,1.00000,1.00000,5.00000,4.00000,2.00000
NA,Model,VS-WF+All6-188,4.00000,5.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-189,1.00000,2.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-19,4.00000,1.00000,3.00000,2.00000,3.00000,1.00000
NA,Model,VS-WF+All6-190,1.00000,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-191,3.00000,3.00000,4.00000,4.00000,2.00000,1.00000
NA,Model,VS-WF+All6-192,1.00000,2.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-193,3.00000,3.00000,2.00000,1.00000,4.00000,1.00000
NA,Model,VS-WF+All6-194,5.00000,1.00000,2.00000,4.00000,1.00000,4.00000
NA,Model,VS-WF+All6-195,5.00000,4.00000,4.00000,3.00000,1.00000,2.00000
NA,Model,VS-WF+All6-196,4.00000,3.00000,1.00000,2.00000,1.00000,3.00000
NA,Model,VS-WF+All6-197,1.00000,1.00000,1.00000,2.00000,2.00000,1.00000
NA,Model,VS-WF+All6-198,2.00000,3.00000,1.00000,1.00000,3.00000,4.00000
NA,Model,VS-WF+All6-199,1.00000,5.00000,4.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-2,2.00000,1.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-20,1.00000,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All6-200,3.00000,1.00000,2.00000,4.00000,4.00000,3.00000
NA,Model,VS-WF+All6-201,4.00000,3.00000,2.00000,5.00000,4.00000,1.00000
NA,Model,VS-WF+All6-202,1.00000,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-203,1.00000,3.00000,2.00000,4.00000,4.00000,3.00000
NA,Model,VS-WF+All6-204,1.00000,1.00000,5.00000,2.00000,1.00000,4.00000
NA,Model,VS-WF+All6-205,3.00000,2.00000,3.00000,1.00000,1.00000,4.00000
NA,Model,VS-WF+All6-206,1.00000,2.00000,4.00000,3.00000,1.00000,3.00000
NA,Model,VS-WF+All6-207,2.00000,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All6-208,1.00000,5.00000,1.00000,2.00000,4.00000,4.00000
NA,Model,VS-WF+All6-209,4.00000,2.00000,5.00000,1.00000,5.00000,4.00000
NA,Model,VS-WF+All6-21,1.00000,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-210,2.00000,4.00000,3.00000,1.00000,5.00000,4.00000
NA,Model,VS-WF+All6-211,1.00000,3.00000,2.00000,3.00000,1.00000,4.00000
NA,Model,VS-WF+All6-212,1.00000,3.00000,4.00000,1.00000,2.00000,3.00000
NA,Model,VS-WF+All6-213,2.00000,2.00000,3.00000,1.00000,4.00000,3.00000
NA,Model,VS-WF+All6-214,2.00000,4.00000,2.00000,1.00000,5.00000,1.00000
NA,Model,VS-WF+All6-215,2.00000,4.00000,1.00000,4.00000,5.00000,5.00000
NA,Model,VS-WF+All6-216,1.00000,3.00000,1.00000,3.00000,2.00000,4.00000
NA,Model,VS-WF+All6-217,1.00000,4.00000,1.00000,2.00000,3.00000,3.00000
NA,Model,VS-WF+All6-218,5.00000,4.00000,1.00000,3.00000,4.00000,2.00000
NA,Model,VS-WF+All6-219,1.00000,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-22,4.00000,1.00000,1.00000,2.00000,5.00000,1.00000
NA,Model,VS-WF+All6-220,2.00000,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-221,5.00000,1.00000,1.00000,2.00000,4.00000,1.00000
NA,Model,VS-WF+All6-222,1.00000,2.00000,3.00000,4.00000,3.00000,1.00000
NA,Model,VS-WF+All6-223,3.00000,3.00000,1.00000,4.00000,2.00000,1.00000
NA,Model,VS-WF+All6-224,1.00000,5.00000,1.00000,4.00000,1.00000,2.00000
NA,Model,VS-WF+All6-225,1.00000,4.00000,2.00000,4.00000,5.00000,1.00000
NA,Model,VS-WF+All6-226,1.00000,2.00000,2.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-227,2.00000,2.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-228,1.00000,2.00000,2.00000,3.00000,4.00000,3.00000
NA,Model,VS-WF+All6-229,1.00000,1.00000,2.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-23,1.00000,1.00000,5.00000,2.00000,4.00000,1.00000
NA,Model,VS-WF+All6-230,1.00000,4.00000,3.00000,1.00000,3.00000,2.00000
NA,Model,VS-WF+All6-231,1.00000,2.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All6-232,1.00000,4.00000,2.00000,1.00000,1.00000,5.00000
NA,Model,VS-WF+All6-233,2.00000,4.00000,1.00000,5.00000,1.00000,2.00000
NA,Model,VS-WF+All6-234,3.00000,3.00000,1.00000,1.00000,2.00000,4.00000
NA,Model,VS-WF+All6-235,2.00000,1.00000,1.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All6-236,2.00000,1.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All6-237,5.00000,4.00000,1.00000,4.00000,3.00000,2.00000
NA,Model,VS-WF+All6-238,1.00000,1.00000,2.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-239,3.00000,2.00000,1.00000,4.00000,3.00000,4.00000
NA,Model,VS-WF+All6-24,2.00000,1.00000,3.00000,1.00000,4.00000,3.00000
NA,Model,VS-WF+All6-240,4.00000,2.00000,5.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All6-241,2.00000,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-242,1.00000,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-243,1.00000,1.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All6-244,1.00000,2.00000,1.00000,3.00000,4.00000,3.00000
